start('Act1', 0).
start('Act2', 186).
start('Act3', 97).
start('Act4', 139).
start('Act5', 0).
start('Act6', 201).
start('Act7', 1).
start('Act8', 2).
start('Act9', 4).
start('Act10', 15).
start('Act11', 25).
start('Act12', 69).
start('Act13', 4).
start('Act14', 11).
start('Act15', 29).
start('Act16', 45).
start('Act17', 5).
start('Act18', 47).
start('Act19', 5).
start('Act20', 0).
start('Act21', 0).
start('Act22', 80).
start('Act23', 56).
start('Act24', 21).
start('Act25', 63).
start('Act26', 47).
start('Act27', 125).
start('Act28', 125).
start('Act29', 108).
start('Act30', 16).
start('Act31', 25).
start('Act32', 17).
start('Act33', 29).
start('Act34', 37).
start('Act35', 7).
start('Act36', 8).
start('Act37', 46).
start('Act38', 100).
start('Act39', 0).
start('Act40', 50).
start('Act41', 34).
start('Act42', 60).
start('Act43', 8).
start('Act44', 255).
start('Act45', 70).
start('Act46', 123).
start('Act47', 12).
start('Act48', 174).
start('Act49', 50).
start('Act50', 23).
start('Act51', 59).
start('Act52', 81).
start('Act53', 18).
start('Act54', 134).
start('Act55', 32).
start('Act56', 20).
start('Act57', 31).
start('Act58', 245).
start('Act59', 62).
start('Act60', 16).
start('Act61', 41).
start('Act62', 0).
start('Act63', 182).
start('Act64', 24).
start('Act65', 6).
start('Act66', 46).
start('Act67', 131).
start('Act68', 14).
start('Act69', 175).
start('Act70', 17).
start('Act71', 38).
start('Act72', 14).
start('Act73', 22).
start('Act74', 142).
start('Act75', 11).
start('Act76', 41).
start('Act77', 249).
start('Act78', 180).
start('Act79', 170).
start('Act80', 29).
start('Act81', 54).
start('Act82', 49).
start('Act83', 140).
start('Act84', 65).
start('Act85', 8).
start('Act86', 0).
start('Act87', 33).
start('Act88', 117).
start('Act89', 26).
start('Act90', 39).
start('Act91', 168).
start('Act92', 189).
start('Act93', 11).
start('Act94', 75).
start('Act95', 135).
start('Act96', 191).
start('Act97', 133).
start('Act98', 160).
start('Act99', 29).
start('Act100', 5).
start('Act101', 39).
start('Act102', 242).
start('Act103', 194).
start('Act104', 48).
start('Act105', 42).
start('Act106', 52).
start('Act107', 54).
start('Act108', 56).
start('Act109', 60).
start('Act110', 0).
start('Act111', 2).
start('Act112', 174).
start('Act113', 3).
start('Act114', 253).
start('Act115', 81).
start('Act116', 76).
start('Act117', 41).
start('Act118', 200).
start('Act119', 12).
start('Act120', 127).
start('Act121', 21).
start('Act122', 39).
start('Act123', 16).
