start('Act1', 0).
start('Act2', 0).
start('Act3', 11).
start('Act4', 3).
start('Act5', 16).
start('Act6', 8).
start('Act7', 0).
start('Act8', 12).
start('Act9', 16).
start('Act10', 22).
start('Act11', 0).
start('Act12', 4).
start('Act13', 16).
start('Act14', 18).
start('Act15', 16).
start('Act16', 16).
start('Act17', 0).
start('Act18', 12).
start('Act19', 22).
start('Act20', 16).
start('Act21', 20).
start('Act22', 0).
start('Act23', 22).
start('Act24', 13).
start('Act25', 9).
start('Act26', 4).
start('Act27', 18).
start('Act28', 6).
start('Act29', 3).
start('Act30', 4).
start('Act31', 3).
start('Act32', 0).
start('Act33', 8).
start('Act34', 2).
start('Act35', 16).
start('Act36', 2).
start('Act37', 22).
start('Act38', 11).
start('Act39', 12).
start('Act40', 0).
start('Act41', 4).
start('Act42', 7).
start('Act43', 6).
start('Act44', 0).
start('Act45', 1).
start('Act46', 21).
start('Act47', 0).
start('Act48', 25).
start('Act49', 22).
start('Act50', 22).

crane('Act6', crane1).
crane('Act8', crane1).
crane('Act10', crane1).
crane('Act17', crane1).
crane('Act22', crane2).
crane('Act26', crane2).
crane('Act35', crane2).
crane('Act42', crane2).
crane('Act48', crane2).
crane('Act49', crane2).
