start('Act1', 40).
start('Act2', 0).
start('Act3', 10).
start('Act4', 4).
start('Act5', 24).
start('Act6', 6).
start('Act7', 2).
start('Act8', 2).
start('Act9', 60).
start('Act10', 0).
start('Act11', 41).
start('Act12', 7).
start('Act13', 85).
start('Act14', 13).
start('Act15', 51).
start('Act16', 48).
start('Act17', 88).
start('Act18', 0).
start('Act19', 8).
start('Act20', 9).
start('Act21', 0).
start('Act22', 16).
start('Act23', 45).
start('Act24', 7).
start('Act25', 19).
start('Act26', 6).
start('Act27', 41).
start('Act28', 0).
start('Act29', 49).
start('Act30', 0).
start('Act31', 18).
start('Act32', 25).
start('Act33', 15).
start('Act34', 10).
start('Act35', 18).
start('Act36', 39).
start('Act37', 0).
start('Act38', 21).
start('Act39', 1).
start('Act40', 12).
start('Act41', 83).
start('Act42', 18).
start('Act43', 38).
start('Act44', 79).
start('Act45', 79).
start('Act46', 9).
start('Act47', 3).
start('Act48', 13).
start('Act49', 61).
start('Act50', 23).
start('Act51', 18).
start('Act52', 5).
start('Act53', 78).
start('Act54', 84).
start('Act55', 32).
start('Act56', 48).
start('Act57', 0).
start('Act58', 19).
start('Act59', 88).
start('Act60', 4).
start('Act61', 10).
start('Act62', 76).
start('Act63', 64).
start('Act64', 86).
start('Act65', 9).
start('Act66', 16).
start('Act67', 3).
start('Act68', 78).
start('Act69', 19).
start('Act70', 24).
start('Act71', 77).
start('Act72', 40).
start('Act73', 5).
start('Act74', 12).
start('Act75', 62).
start('Act76', 19).
start('Act77', 23).
start('Act78', 8).
start('Act79', 0).
start('Act80', 20).
start('Act81', 11).
start('Act82', 29).
start('Act83', 28).
start('Act84', 75).
start('Act85', 73).
start('Act86', 54).
start('Act87', 47).
start('Act88', 10).
start('Act89', 0).
start('Act90', 71).
start('Act91', 38).
start('Act92', 8).
start('Act93', 15).
start('Act94', 72).
start('Act95', 65).
start('Act96', 67).
start('Act97', 57).
start('Act98', 15).
start('Act99', 45).
start('Act100', 46).
start('Act101', 66).
start('Act102', 11).
start('Act103', 88).
start('Act104', 60).
start('Act105', 26).
start('Act106', 73).
start('Act107', 23).
start('Act108', 64).
start('Act109', 6).
start('Act110', 56).
start('Act111', 44).
start('Act112', 39).
start('Act113', 35).
start('Act114', 71).
start('Act115', 45).
start('Act116', 64).
start('Act117', 19).
start('Act118', 59).
start('Act119', 38).
start('Act120', 77).
start('Act121', 51).
start('Act122', 53).
start('Act123', 33).
start('Act124', 36).
start('Act125', 38).
start('Act126', 21).
start('Act127', 54).
start('Act128', 30).
start('Act129', 52).
start('Act130', 77).
start('Act131', 50).
start('Act132', 27).
start('Act133', 34).
start('Act134', 36).
start('Act135', 36).
start('Act136', 62).
start('Act137', 30).
start('Act138', 56).
start('Act139', 57).
start('Act140', 71).
start('Act141', 22).
start('Act142', 56).
start('Act143', 33).
start('Act144', 49).
start('Act145', 69).
start('Act146', 60).
start('Act147', 43).
start('Act148', 29).
start('Act149', 63).
start('Act150', 57).
start('Act151', 36).
start('Act152', 31).
start('Act153', 29).
start('Act154', 49).
start('Act155', 63).
start('Act156', 42).
start('Act157', 27).
start('Act158', 48).
start('Act159', 25).
start('Act160', 37).
start('Act161', 25).
start('Act162', 33).
start('Act163', 26).
start('Act164', 15).
start('Act165', 54).
start('Act166', 47).
start('Act167', 69).
start('Act168', 37).
start('Act169', 26).
start('Act170', 22).
start('Act171', 45).
start('Act172', 34).
start('Act173', 22).
start('Act174', 44).
start('Act175', 12).
start('Act176', 14).
start('Act177', 24).
start('Act178', 6).
start('Act179', 13).
start('Act180', 24).
start('Act181', 12).
start('Act182', 32).
start('Act183', 32).
start('Act184', 28).
start('Act185', 50).
start('Act186', 49).
start('Act187', 21).
start('Act188', 56).
start('Act189', 42).
start('Act190', 16).
start('Act191', 21).
start('Act192', 4).
start('Act193', 31).
start('Act194', 38).
start('Act195', 42).
start('Act196', 36).
start('Act197', 67).
start('Act198', 60).
start('Act199', 32).
start('Act200', 27).

crane('Act1', crane2).
crane('Act5', crane1).
crane('Act13', crane1).
crane('Act14', crane2).
crane('Act22', crane2).
crane('Act41', crane1).
crane('Act43', crane1).
crane('Act46', crane2).
crane('Act49', crane2).
crane('Act54', crane2).
crane('Act58', crane1).
crane('Act63', crane1).
crane('Act64', crane1).
crane('Act67', crane2).
crane('Act68', crane2).
crane('Act82', crane1).
crane('Act94', crane2).
crane('Act97', crane2).
crane('Act99', crane2).
crane('Act100', crane1).
crane('Act101', crane2).
crane('Act105', crane2).
crane('Act108', crane2).
crane('Act110', crane1).
crane('Act121', crane2).
crane('Act127', crane1).
crane('Act131', crane1).
crane('Act133', crane1).
crane('Act140', crane1).
crane('Act152', crane1).
crane('Act173', crane2).
crane('Act197', crane1).
