start('Act1', 0).
start('Act2', 6).
start('Act3', 9).
start('Act4', 10).
start('Act5', 13).
start('Act6', 15).
start('Act7', 17).
start('Act8', 3).
start('Act9', 23).
start('Act10', 20).
start('Act11', 8).
start('Act12', 13).
start('Act13', 137).
start('Act14', 0).
start('Act15', 75).
start('Act16', 0).
start('Act17', 28).
start('Act18', 8).
start('Act19', 64).
start('Act20', 40).
start('Act21', 7).
start('Act22', 4).
start('Act23', 0).
start('Act24', 27).
start('Act25', 9).
start('Act26', 24).
start('Act27', 45).
start('Act28', 0).
start('Act29', 41).
start('Act30', 83).
start('Act31', 5).
start('Act32', 17).
start('Act33', 114).
start('Act34', 78).
start('Act35', 23).
start('Act36', 16).
start('Act37', 75).
start('Act38', 37).
start('Act39', 61).
start('Act40', 23).
start('Act41', 84).
start('Act42', 71).
start('Act43', 22).
start('Act44', 29).
start('Act45', 120).
start('Act46', 7).
start('Act47', 8).
start('Act48', 12).
start('Act49', 85).
start('Act50', 46).
start('Act51', 29).
start('Act52', 23).
start('Act53', 69).
start('Act54', 45).
start('Act55', 24).
start('Act56', 12).
start('Act57', 0).
start('Act58', 6).
start('Act59', 3).
start('Act60', 114).
start('Act61', 135).
start('Act62', 55).
start('Act63', 112).
start('Act64', 20).
start('Act65', 95).
start('Act66', 74).
start('Act67', 24).
start('Act68', 69).
start('Act69', 27).
start('Act70', 17).
start('Act71', 113).
start('Act72', 11).
start('Act73', 144).
start('Act74', 111).
start('Act75', 7).
start('Act76', 44).
start('Act77', 47).
start('Act78', 54).
start('Act79', 63).
start('Act80', 43).
start('Act81', 91).
start('Act82', 0).
start('Act83', 19).
start('Act84', 90).
start('Act85', 89).
start('Act86', 47).
start('Act87', 19).
start('Act88', 138).
start('Act89', 110).
start('Act90', 1).
start('Act91', 53).
start('Act92', 3).
start('Act93', 79).
start('Act94', 143).
start('Act95', 28).
start('Act96', 33).
start('Act97', 120).
start('Act98', 106).
start('Act99', 122).
start('Act100', 121).
start('Act101', 37).
start('Act102', 125).
start('Act103', 64).
start('Act104', 88).
start('Act105', 121).
start('Act106', 68).
start('Act107', 21).
start('Act108', 113).
start('Act109', 70).
start('Act110', 6).
start('Act111', 35).
start('Act112', 26).
start('Act113', 43).
start('Act114', 2).
start('Act115', 0).
start('Act116', 10).
start('Act117', 91).
start('Act118', 0).
start('Act119', 111).
start('Act120', 62).
start('Act121', 29).
start('Act122', 18).
start('Act123', 34).
start('Act124', 21).
start('Act125', 32).
start('Act126', 102).
start('Act127', 88).
start('Act128', 104).
start('Act129', 89).
start('Act130', 103).
start('Act131', 120).
start('Act132', 83).
start('Act133', 37).
start('Act134', 68).
start('Act135', 35).
start('Act136', 60).
start('Act137', 14).
start('Act138', 57).
start('Act139', 39).
start('Act140', 40).
start('Act141', 77).
start('Act142', 76).
start('Act143', 39).
start('Act144', 42).
start('Act145', 133).
start('Act146', 25).
start('Act147', 50).
start('Act148', 76).
start('Act149', 22).
start('Act150', 76).
start('Act151', 130).
start('Act152', 33).
start('Act153', 19).
start('Act154', 126).
start('Act155', 50).
start('Act156', 93).
start('Act157', 127).
start('Act158', 100).
start('Act159', 12).
start('Act160', 67).
start('Act161', 36).
start('Act162', 83).
start('Act163', 17).
start('Act164', 10).
start('Act165', 119).
start('Act166', 132).
start('Act167', 70).
start('Act168', 37).
start('Act169', 33).
start('Act170', 98).
start('Act171', 27).
start('Act172', 83).
start('Act173', 69).
start('Act174', 27).
start('Act175', 32).
start('Act176', 119).
start('Act177', 64).
start('Act178', 15).
start('Act179', 55).
start('Act180', 64).
start('Act181', 67).
start('Act182', 86).
start('Act183', 105).
start('Act184', 54).
start('Act185', 81).
start('Act186', 113).
start('Act187', 106).
start('Act188', 14).
start('Act189', 59).
start('Act190', 119).
start('Act191', 12).
start('Act192', 109).
start('Act193', 62).
start('Act194', 61).
start('Act195', 97).
start('Act196', 88).
start('Act197', 63).
start('Act198', 62).
start('Act199', 75).
start('Act200', 108).
start('Act201', 114).
start('Act202', 103).
start('Act203', 105).
start('Act204', 23).
start('Act205', 54).
start('Act206', 108).
start('Act207', 27).
start('Act208', 60).
start('Act209', 102).
start('Act210', 119).
start('Act211', 96).
start('Act212', 103).
start('Act213', 59).
start('Act214', 40).
start('Act215', 85).
start('Act216', 80).
start('Act217', 21).
start('Act218', 65).
start('Act219', 58).
start('Act220', 99).
start('Act221', 30).
start('Act222', 56).
start('Act223', 101).
start('Act224', 52).
start('Act225', 60).
start('Act226', 87).
start('Act227', 17).
start('Act228', 96).
start('Act229', 73).
start('Act230', 22).
start('Act231', 16).
start('Act232', 54).
start('Act233', 95).
start('Act234', 93).
start('Act235', 48).
start('Act236', 95).
start('Act237', 90).
start('Act238', 48).
start('Act239', 22).
start('Act240', 57).
start('Act241', 53).
start('Act242', 76).
start('Act243', 64).
start('Act244', 51).
